#Download date: 06/26/2025
Product name,Product code,Purchase date,Purchase price,Drink date
The Society's Exhibition Limarí Chardonnay 2020,CE11421,11/28/2021,10.95,2021 - 2026
The Society's Exhibition Fleurie 2020,BJ8751,11/28/2021,10.50,2020 - 2023
"Château Charmail, Haut-Médoc 2012",CM16811,11/28/2021,17.00,2016 - 2023
Half bottle of The Society's Exhibition Sauternes 2019,BW6912,11/28/2021,10.50,2021 - 2027
The Society's Exhibition Crozes-Hermitage 2020,RH60561,11/28/2021,13.50,2021 - 2026
Kumeu Village Hand-Harvested Pinot Gris 2020,NZ12691,11/28/2021,9.95,2021 - 2024
The Society's Chablis 2020,BU78901,11/28/2021,14.95,2021 - 2025
The Society's Exhibition Sancerre 2020,LO16561,11/28/2021,16.00,2021 - 2024
Rhône and Pâté Case,XC218,11/28/2021,22.00,0 - 0
The Society's Gin and Tonic Case,XC217,11/28/2021,30.00,0 - 0
The Society's Gin and Tonic Case,XC217,12/08/2021,30.00,0 - 0
The Society's Saumur Rosé Brut NV,SG1071,12/14/2021,11.50,0 - 0
The Society's Saumur Brut NV,SG1061,12/14/2021,10.50,0 - 0
Champagne Jean de Foigny Brut Premier Cru NV,CH3761,12/14/2021,22.00,0 - 0
"Domaine Jean Grivot, Nuits-Saint-Georges Premier Cru Les Pruliers 2011",BU52811,12/14/2021,85.00,2016 - 2025
"Magnum of Sancerre Cuvée Silex, Domaine Serge Laloue 2018",LO15474,12/14/2021,44.00,2019 - 2027
"Dow's Tawny Port, 10 Years Old",PN291,12/14/2021,20.00,0 - 0
"Cahors, Clos La Coutale 2019",FC40261,12/14/2021,8.75,2021 - 2025
Bergerac Gloire de mon Pere Chateau la Tour des Gendres 2018,FC41401,12/14/2021,12.50,2021 - 2026
"Marcillac ‘Lo Sang del Pais', Domaine du Cros 2019",FC40181,12/14/2021,9.25,2021 - 2024
The Society's Exhibition Langhe Nebbiolo 2018,IT31401,12/14/2021,13.50,2020 - 2024
The Society's Exhibition Victoria Shiraz 2019,AU23741,12/14/2021,14.50,2021 - 2027
The Society's Exhibition Crozes-Hermitage 2020,RH60561,12/14/2021,13.50,2021 - 2026
The Society's Exhibition Sonoma Coast Pinot Noir 2019,US9701,12/14/2021,14.95,2021 - 2026
"Château Charmail, Haut-Médoc 2012",CM16811,12/14/2021,17.00,2016 - 2023
Ch Grand Chambellan Lalande de Pomerol 2012,CS12021,12/14/2021,14.50,2021 - 2023
Ch Magence Graves 2010,CM24951,12/14/2021,14.50,2021 - 2022
2017 Barolo Case,OC5366,04/09/2021,129.00,0 - 0
The Society's Celebration Crémant de Loire 2018,SG3211,04/28/2022,12.95,2021 - 2023
Three Terraces Marlborough Pinot Gris 2021,NZ12961,04/28/2022,9.50,2021 - 2024
USA Mixed Dozen 12*1,MX2276,04/28/2022,130.00,0 - 0
"Ventoux Blanc, Paul Jaboulet Aîné 2019",RH61711,04/28/2022,8.75,2021 - 2024
"Val de Loire Malbec, Domaine des Rochelles, J. Lebreton 2020",LO16321,04/28/2022,10.95,2021 - 2025
An Exhibition of Value Case,MX2242,04/28/2022,88.00,0 - 0
Society Whites Case,WC22103A,04/28/2022,95.00,0 - 0
Fine Wine Tour of Spain Case,MX2257,04/28/2022,97.00,0 - 0
The Au Bon Climat Collection,MX2253,04/28/2022,145.00,0 - 0
The Society's Saumur Rosé Brut NV,SG1071,04/28/2022,11.50,0 - 0
Bulgarian Heritage Misket Via Vinera 2020,BG431,06/09/2022,7.50,2021 - 2024
The Society's Exhibition Pauillac 2017,CM27481,06/09/2022,22.00,2021 - 2028
"Bulgarian Heritage Mavrud, Via Vinera 2019",BG441,06/09/2022,8.50,2021 - 2025
"Cerasuolo d'Abruzzo, Contesa 2021",IT33871,06/09/2022,8.50,2022 - 2025
Samos Anthemis 2015 50cl,GR2291,06/09/2022,9.95,2021 - 2027
"Château Monconseil Gazin, Blaye Côtes de Bordeaux 2019",CB6461,06/09/2022,9.95,2021 - 2025
"TreRè Arlùs Albana Secca, Romagna 2021",IT34511,06/09/2022,10.50,2022 - 2024
The Society's Exhibition Moulin-à-Vent 2020,BJ9041,06/09/2022,11.50,2021 - 2024
"Clairette de Die Tradition, Cave Poulet",SG3451,06/09/2022,11.95,0 - 0
"The Society's Exhibition Pinotage, Stellenbosch 2019",SA17441,06/09/2022,11.95,2021 - 2028
The Society's Exhibition Langhe Nebbiolo 2019,IT33011,06/09/2022,13.95,2021 - 2025
The Society's Exhibition Sonoma Coast Pinot Noir 2019,US9701,06/09/2022,14.95,2021 - 2026
Half bottle of Quady Essensia Orange Muscat 2019,US10112,06/09/2022,16.00,2021 - 2028
"The Society's Exhibition Crusted Port, Bottled 2013",PN231,06/09/2022,17.00,2018 - 2030
"Château Canada, Bordeaux Supérieur 2019",CB6351,06/09/2022,8.50,2021 - 2025
The Society's Saumur Brut NV,SG1061,06/09/2022,10.95,0 - 0
The Society's Saumur Rosé Brut NV,SG1071,06/09/2022,11.95,0 - 0
Longevity Californian Chardonnay 2019,US9951,06/20/2022,12.50,2021 - 2023
"Örökség 'Heritage' Bikavér, Takler 2018",HU1911,11/23/2022,9.95,2022 - 2024
"Barbera d'Alba Superiore Conca del Grillo, Silvano Bolmida 2020",IT35421,11/23/2022,15.50,2022 - 2025
Ferdinand Mayr Exklusiv Grüner Veltliner 2021,AA3681,11/23/2022,8.25,2022 - 2024
The Society's Grüner Veltliner 2021,AA3691,11/23/2022,8.75,2022 - 2024
Baccolo Appassimento Rosso Veneto 2020,IT33341,11/23/2022,7.25,2021 - 2023
"Syrah-Mourvèdre, Côtes de Thongue, Domaine La Condamine L'Evêque 2021",FC42361,11/23/2022,7.50,2022 - 2024
The Society's Cava Reserva Brut NV,SG1661,11/23/2022,9.50,0 - 0
The Society's Saumur Rosé Brut NV,SG1071,11/23/2022,11.95,0 - 0
The Society's Exhibition Moulin-à-Vent 2020,BJ9041,11/23/2022,11.50,2021 - 2024
Festive Exhibition Whites Case,MX22267A,11/23/2022,88.00,0 - 0
